OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,STREET,CITY,ZIP,COUNTY,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape,Latitude,Longitude
107,107,609,101912,HOUSTON ISD,101912321,ENERGIZED FOR STEM ACADEMY,3703 SAMPSON,HOUSTON,77004,3703 SAMPSON,HOUSTON,77004,101,HARRIS COUNTY,4,9-Sep,4,0,REGULAR INSTRUCTIONAL,3703 SAMPSON,Y,107,29.724893,-95.363752
245,245,1208,101912,HOUSTON ISD,101912463,YOUNG WOMEN'S COLLEGE PREP ACADEMY,1906 CLEBURNE ST,HOUSTON,77004,1906 CLEBURNE ST,HOUSTON,77004,101,HARRIS COUNTY,4,06 09,3,0,REGULAR INSTRUCTIONAL,1906 CLEBURNE ST,Y,245,29.724893,-95.363752
1133,1133,7399,101912,HOUSTON ISD,101912328,TSU CHARTER LAB SCH,3805 BURKETT ST,HOUSTON,77004,3805 BURKETT ST,HOUSTON,77004,101,HARRIS COUNTY,4,PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,3805 BURKETT ST,Y,1133,29.724893,-95.363752
1135,1135,7401,101912,HOUSTON ISD,101912348,INTERNATIONAL H S,1515 WINDBERN AVE,HOUSTON,77004,1515 WINDBERN AVE,HOUSTON,77027,101,HARRIS COUNTY,4,09 10 11 12,4,0,REGULAR INSTRUCTIONAL,1515 WINDBERN AVE,Y,1135,29.724893,-95.363752
1243,1243,8137,101912,HOUSTON ISD,101912329,HOPE ACADEMY CHARTER SCHOOL,3015 N MACGREGOR WAY,HOUSTON,77004,3015 N MACGREGOR WAY,HOUSTON,77004,101,HARRIS COUNTY,4,09 10 11 12,4,0,ALTERNATIVE INSTRUCTIONAL,3015 N MACGREGOR WAY,Y,1243,29.724893,-95.363752
1276,1276,8320,101863,KOINONIA COMMUNITY LEARNING ACADEMY,101863001,KOINONIA COMMUNITY LEARNING ACADEMY,3229-A HADLEY,HOUSTON,77004,3225 TRULLEY,HOUSTON,77004,101,HARRIS COUNTY,4,EE PK KG 01 02 03 04 05 06 07,1,0,REGULAR INSTRUCTIONAL,3229-A HADLEY,Y,1276,29.724893,-95.363752
1032,1032,6968,101810,ACADEMY OF ACCELERATED LEARNING INC,101810002,ACADEMY OF ACCELERATED LEARNING,2913 LOUISIANA,HOUSTON,77006,6711 BELFORT ST,HOUSTON,77087,101,HARRIS COUNTY,4,"PK-KG,AE",1,0,CHARTER/ALTERNATIVE,2913 LOUISIANA,Y,1032,29.74097,-95.391301
1041,1041,6995,101829,HOUSTON HEIGHTS LEARNING ACADEMY INC,101829101,HOUSTON HEIGHTS LEARNING ACADEMY INC,902 W 8TH ST,HOUSTON,77007,902 W 8TH ST,HOUSTON,77007,101,HARRIS COUNTY,4,PK-5,1,0,CHARTER/ALTERNATIVE,902 W 8TH ST,Y,1041,29.771545,-95.411083
1035,1035,6987,101821,HEIGHTS CHARTER SCHOOL,101821001,HEIGHTS CHARTER SCHOOL,1125 LAWRENCE DR,HOUSTON,77008,1125 LAWRENCE DR,HOUSTON,77008,101,HARRIS COUNTY,4,12-Jul,4,0,CHARTER/REGULAR,1125 LAWRENCE DR,Y,1035,29.798249,-95.416933
1124,1124,7390,101845,YES PREPARATORY PUBLIC SCHOOLS,101845003,YES PREP - EAST END CAMPUS,3401 HARDY RD,HOUSTON,77009,3401 HARDY RD,HOUSTON,77009,101,HARRIS COUNTY,4,06 07 08 09 10 11 12,5,0,CHARTER/REGULAR INSTRUCTIONAL,3401 HARDY RD,Y,1124,29.795344,-95.36759
253,253,1217,101853,RIPLEY HOUSE CHARTER SCHOOL,101853101,RIPLEY HOUSE CHARTER SCHOOL,4410 NAVIGATION,HOUSTON,77011,4410 NAVIGATION,HOUSTON,77011,101,HARRIS COUNTY,4,KG-5,1,0,CHARTER/REGULAR,4410 NAVIGATION,Y,253,29.743217,-95.30911
1090,1090,7236,101853,RIPLEY HOUSE CHARTER SCHOOL,101853104,NCI CHARTER SCHOOL WITHOUT WALLS,4410 NAVIGATION,HOUSTON,77011,6565 ROOKIN,HOUSTON,77074,101,HARRIS COUNTY,4,PK,1,0,CHARTER/REGULAR INSTRUCTIONAL,4410 NAVIGATION,Y,1090,29.743217,-95.30911
29,29,173,101828,HOUSTON GATEWAY ACADEMY INC,101828001,HOUSTON GATEWAY ACADEMY - CORAL CAMPUS,1020 CORAL,HOUSTON,77012,1020 CORAL,HOUSTON,77012,101,HARRIS COUNTY,4,ELEMENTARY/SECONDARY,5,0,REGULAR INSTRUCTIONAL,1020 CORAL,Y,29,29.718525,-95.274137
1083,1083,7227,101000,HARRIS COUNTY DEPT OF ED,101000003,ACADEMIC BEHAVIOR CTR EAST,7703 S LOOP E,HOUSTON,77012,7703 S LOOP E,HOUSTON,77012,101,HARRIS COUNTY,4,09 10 11 12,4,0,ALTERNATIVE INSTRUCTIONAL,7703 S LOOP E,Y,1083,29.718525,-95.274137
307,307,1593,101912,HOUSTON ISD,101912186,ROBINSON EL,12425 WOODFOREST BLVD,HOUSTON,77013,12425 WOODFOREST BLVD,HOUSTON,77013,101,HARRIS COUNTY,4,PK-5,1,0,REGULAR,12425 WOODFOREST BLVD,Y,307,29.795268,-95.233977
